,FH
2023-08-29 15:24:45,34.475716
2023-08-29 15:25:00,34.562534
2023-08-29 15:25:15,34.482754
2023-08-29 15:25:30,34.424313
2023-08-29 15:25:45,34.449253
2023-08-29 15:26:00,34.51643
2023-08-29 15:26:15,34.54106
2023-08-29 15:26:30,34.40033
2023-08-29 15:26:45,34.439384
2023-08-29 15:27:00,34.465477
2023-08-29 15:27:15,34.409595
2023-08-29 15:27:30,34.456398
2023-08-29 15:27:45,34.45425
2023-08-29 15:28:00,34.50017
2023-08-29 15:28:15,34.518032
2023-08-29 15:28:30,34.41348
2023-08-29 15:28:45,34.45924
2023-08-29 15:29:00,34.469234
2023-08-29 15:29:15,34.48707
2023-08-29 15:29:30,34.414177
2023-08-29 15:29:45,34.516697
2023-08-29 15:30:00,34.54338
2023-08-29 15:30:15,34.45082
2023-08-29 15:30:30,34.505543
2023-08-29 15:30:45,34.474846
2023-08-29 15:31:00,34.489098
2023-08-29 15:31:15,34.444847
2023-08-29 15:31:30,34.42853
2023-08-29 15:31:45,34.49689
2023-08-29 15:32:00,34.468815
2023-08-29 15:32:15,34.541847
2023-08-29 15:32:30,34.470253
2023-08-29 15:32:45,34.482418
2023-08-29 15:33:00,34.52245
2023-08-29 15:33:15,34.468376
2023-08-29 15:33:30,34.509182
2023-08-29 15:33:45,34.525906
2023-08-29 15:34:00,34.412064
2023-08-29 15:34:15,34.45766
2023-08-29 15:34:30,34.4145
2023-08-29 15:34:45,34.49507
2023-08-29 15:35:00,34.470684
2023-08-29 15:35:15,34.370747
2023-08-29 15:35:30,34.521473
2023-08-29 15:35:45,34.457962
2023-08-29 15:36:00,34.38814
2023-08-29 15:36:15,34.499382
2023-08-29 15:36:30,34.481236
2023-08-29 15:36:45,34.464016
2023-08-29 15:37:00,34.46208
2023-08-29 15:37:15,34.42075
2023-08-29 15:37:30,34.52101
2023-08-29 15:37:45,34.478428
2023-08-29 15:38:00,34.458866
2023-08-29 15:38:15,34.444466
2023-08-29 15:38:30,34.475544
2023-08-29 15:38:45,34.433056
2023-08-29 15:39:00,34.4801
2023-08-29 15:39:15,34.531864
2023-08-29 15:39:30,34.48004
2023-08-29 15:39:45,34.48745
2023-08-29 15:40:00,34.47008
2023-08-29 15:40:15,34.483612
2023-08-29 15:40:30,34.425507
2023-08-29 15:40:45,34.480724
2023-08-29 15:41:00,34.517555
2023-08-29 15:41:15,34.45126
2023-08-29 15:41:30,34.476494
2023-08-29 15:41:45,34.346523
2023-08-29 15:42:00,34.427986
2023-08-29 15:42:15,34.539146
2023-08-29 15:42:30,34.5107
2023-08-29 15:42:45,34.486687
2023-08-29 15:43:00,34.514366
2023-08-29 15:43:15,34.502655
2023-08-29 15:43:30,34.4554
2023-08-29 15:43:45,34.47138
2023-08-29 15:44:00,34.437378
2023-08-29 15:44:15,34.498665
2023-08-29 15:44:30,34.482788
2023-08-29 15:44:45,34.569157
2023-08-29 15:45:00,34.37228
2023-08-29 15:45:15,34.476227
2023-08-29 15:45:30,34.51622
2023-08-29 15:45:45,34.539818
2023-08-29 15:46:00,34.44604
2023-08-29 15:46:15,34.435177
2023-08-29 15:46:30,34.48751
2023-08-29 15:46:45,34.508778
2023-08-29 15:47:00,34.444267
2023-08-29 15:47:15,34.494373
2023-08-29 15:47:30,34.36349
2023-08-29 15:47:45,34.48069
2023-08-29 15:48:00,34.46702
2023-08-29 15:48:15,34.574932
2023-08-29 15:48:30,34.50385
2023-08-29 15:48:45,34.474556
2023-08-29 15:49:00,34.519745
2023-08-29 15:49:15,34.452896
2023-08-29 15:49:30,34.45837
2023-08-29 15:49:45,34.528465
2023-08-29 15:50:00,34.485203
2023-08-29 15:50:15,34.3773
2023-08-29 15:50:30,34.47444
2023-08-29 15:50:45,34.489388
2023-08-29 15:51:00,34.489586
2023-08-29 15:51:15,34.42554
2023-08-29 15:51:30,34.44031
2023-08-29 15:51:45,34.49181
2023-08-29 15:52:00,34.501785
2023-08-29 15:52:15,34.458973
2023-08-29 15:52:30,34.357273
2023-08-29 15:52:45,34.483418
2023-08-29 15:53:00,34.55121
2023-08-29 15:53:15,34.418907
2023-08-29 15:53:30,34.448162
2023-08-29 15:53:45,34.497715
2023-08-29 15:54:00,34.44334
2023-08-29 15:54:15,34.53111
2023-08-29 15:54:30,34.491905
2023-08-29 15:54:45,34.444557
2023-08-29 15:55:00,34.42794
2023-08-29 15:55:15,34.502666
2023-08-29 15:55:30,34.491776
2023-08-29 15:55:45,34.484646
2023-08-29 15:56:00,34.43412
2023-08-29 15:56:15,34.512337
2023-08-29 15:56:30,34.462936
2023-08-29 15:56:45,34.550243
2023-08-29 15:57:00,34.434734
2023-08-29 15:57:15,34.462868
2023-08-29 15:57:30,34.473816
2023-08-29 15:57:45,34.444767
2023-08-29 15:58:00,34.481945
2023-08-29 15:58:15,34.47655
2023-08-29 15:58:30,34.487705
2023-08-29 15:58:45,34.421898
2023-08-29 15:59:00,34.467922
2023-08-29 15:59:15,34.524456
2023-08-29 15:59:30,34.383133
2023-08-29 15:59:45,34.491558
2023-08-29 16:00:00,34.439964
2023-08-29 16:00:15,34.448303
2023-08-29 16:00:30,34.4251
2023-08-29 16:00:45,34.455097
